Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.;;;out/21;set/21;ago/21;jul/21;jun/21;mai/21;abr/21;mar/21;fev/21;jan/21;dez/20;nov/20;out/20;set/20;ago/20;jul/20;jun/20;mai/20;abr/20;mar/20;fev/20;jan/20;dez/19;nov/19;out/19;set/19;ago/19;jul/19;jun/19;mai/19;abr/19;mar/19;fev/19;jan/19;dez/18;nov/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.15.010 - TRINCHA ATLAS AT340 2 ANGULAR;UNIDA;5;2;2;R$ 51;80;0;10%;R$ 21;56;;R$ 30;24;14026;0%;;25;90;25;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CAPIM-DE-CHEIRO - A2 - SELFCOLOR - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 51;68;0;10%;R$ 27;26;;R$ 24;42;8958;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - AZALEIA - B2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;1;1;R$ 51;65;0;10%;R$ 30;37;;R$ 21;28;7006;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PIRINEUS - A2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;65;0;10%;R$ 27;92;;R$ 23;73;8499;30%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PUMA - A2 - SELFCOLOR - TESTE SUA COR;200ML;1574;2;2;R$ 51;65;0;10%;R$ 19;16;;R$ 32;49;16957;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;99;33;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
06.03.001 - PILHA AA   ENERGIZER MAX;UNIDA;30;3;4;R$ 51;60;0;10%;R$ 18;56;;R$ 33;4;17801;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;90;0;0;0;0;0;0;25;80;12;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ENCONTROS DO DESTINO - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 51;58;0;10%;R$ 29;8;;R$ 22;50;7737;30%;;0;0;0;0;0;0;0;0;51;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VINHO QUENTE - W - SHERWIN - M-LTX REQUINTE SUPER;QUART;1687;1;1;R$ 51;57;0;10%;R$ 27;16;;R$ 24;41;8987;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CADEIRA DE BAMBU - B2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;1;1;R$ 51;55;0;10%;R$ 27;85;;R$ 23;70;8509;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.029 - ESMALTE COR & PROTEC C2 0.80;800ML;1;1;1;R$ 51;55;0;10%;R$ 32;50;;R$ 19;5;5861;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - OCEANO PROFUNDO - C2 - SELFCOLOR - TESTE SUA COR;200ML;1574;2;2;R$ 51;46;0;10%;R$ 30;24;;R$ 21;22;7017;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CALCA DE SARJA - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;41;0;10%;R$ 27;81;;R$ 23;60;8486;20%;;0;0;0;0;0;0;0;0;0;0;51;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - PRAIA DO FAROL - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 51;41;0;10%;R$ 30;25;;R$ 21;16;6995;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34.01.002 - ECOPRIMER 1 LT;UNIDA;2;2;2;R$ 51;40;0;10%;R$ 23;48;;R$ 27;92;11891;0%;;25;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - BRANCO CASAMENTO - A2 - CORAL - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;40;0;10%;R$ 27;78;;R$ 23;62;8502;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - MESQUITA AZUL - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 51;39;0;10%;R$ 29;30;;R$ 22;9;7539;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - AVENTURINA - B2 - SELFCOLOR - TESTE SUA COR;200ML;1574;3;3;R$ 51;33;0;10%;R$ 24;75;;R$ 26;58;10739;40%;;0;0;17;65;0;0;0;0;17;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PEQUI - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;31;0;10%;R$ 29;33;;R$ 21;98;7494;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - COLUNATA PESSEGO - LANGUAGE OF COLORS - - DECORA SEDA AC;800ML;231;1;1;R$ 51;30;0;10%;R$ 27;6;;R$ 24;24;8957;90%;;0;0;0;0;0;0;0;0;51;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - VERDE GALES - A2 - CORAL - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 51;23;0;10%;R$ 27;13;;R$ 24;10;8883;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20.03.005 - ESMALTE LUKS BRILH VERDE COLONIAL 1/16;UNIDA;5;4;4;R$ 51;21;0;10%;R$ 27;24;;R$ 23;97;8799;60%;;0;0;0;0;0;0;12;51;0;0;12;90;0;0;12;90;0;0;0;0;12;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PAVILHAO ROSA - A2 - CORAL - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 51;21;0;10%;R$ 27;12;;R$ 24;9;8882;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - CREME DE PITANGA - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI;800ML;231;1;1;R$ 51;20;0;10%;R$ 28;60;;R$ 22;60;7902;10%;;0;0;0;0;0;0;0;0;51;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ROSA GIZ - A2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;19;0;10%;R$ 29;58;;R$ 21;61;7305;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - SW 6420 - A2 - SHERWIN WILLIAMS - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 51;14;0;10%;R$ 27;5;;R$ 24;9;8905;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CALDA DE CEREJAS - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 51;14;0;10%;R$ 31;97;;R$ 19;17;5996;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CURRY - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;1;1;R$ 51;4;0;10%;R$ 27;19;;R$ 23;85;8771;60%;;0;0;0;0;51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - REFUGIO DE INVERNO - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 51;3;0;10%;R$ 28;72;;R$ 22;31;7768;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
23.01.001 - ABRACADEIRA DE  NYLON 4;8 X 280 - NATURAL;UNIDA;7;7;69;R$ 51;0;0;10%;R$ 8;;28;R$ 42;72;51594;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;9;60;0;0;0;0;0;0;0;0;0;0;0;0;9;60;0;0;0;80;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"23.03.007 - NIVEL 12"" 30CM 3 VISORES STAFER;UNIDA;5;3;3; R$ 51";0;0;10%;R$ 51;0; R$ -   ;0;0%;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
ZZ.SV.000 - PEDRA ROSADA - A2 - CORAL - FOSCO COMPLETO;800ML;1574;1;1;R$ 51;0;0;10%;R$ 29;45;;R$ 21;55;7317;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - FOLHA SECA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;1;1;R$ 50;97;0;10%;R$ 29;47;;R$ 21;50;7295;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - AZUL FANTASMA* - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST;800ML;231;1;1;R$ 50;92;0;10%;R$ 30;58;;R$ 20;34;6651;40%;;0;0;0;0;0;0;0;0;0;0;0;0;50;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CAPPUCCINO - C2 - CORAL - FOSCO COMPLETO;800ML;1574;1;1;R$ 50;92;0;10%;R$ 27;62;;R$ 23;30;8435;90%;;0;0;0;0;0;0;0;0;0;0;50;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - M-LTX REQUINTE SUPER;QUART;1687;1;1;R$ 50;86;0;10%;R$ 29;86;;R$ 21;0;7032;80%;;0;0;0;0;0;0;0;0;0;0;0;0;50;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - TUBARAO CINZA - B2 - SELFCOLOR - TESTE SUA COR;200ML;1574;3;3;R$ 50;84;0;10%;R$ 25;7;;R$ 25;77;10279;20%;;0;0;0;0;17;50;17;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ROSA ACANHADO - A2 - CORAL - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 50;83;0;10%;R$ 26;84;;R$ 23;99;8938;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.01.024 - ESPATULA  ATLAS  6255 ACO CROMADO 3;8CM;UNIDA;25;4;4;R$ 50;80;0;10%;R$ 17;;28;R$ 33;52;19398;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;70;38;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZZ.SW.000 - VERVE VIOLET - W - SHERWIN - M-LTX ACR SB;QUART;1687;1;1;R$ 50;77;0;10%;R$ 28;68;;R$ 22;9;7702;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - UVA EXUBERANTE - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 50;74;0;10%;R$ 26;70;;R$ 24;4;9003;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - MARROM CAFE - W - SHERWIN - M-LTX ESM SINT ACET;QUART;1687;1;1;R$ 50;70;0;10%;R$ 28;49;;R$ 22;21;7795;70%;;0;0;0;0;50;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VERDE ENVELHECIDO - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 50;69;0;10%;R$ 29;12;;R$ 21;57;7407;30%;;0;0;0;0;0;0;0;0;0;0;50;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
"33.05.015 - TRINCHA TIGRE 696 1""1/2;UNIDA;6;6;6; R$ 50";65;0;10%;R$ 56;34;-R$ 5;69;-1009;90%;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;15;25;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ZZ.SV.000 - ASAS DE ANJO - A2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 50;65;0;10%;R$ 32;62;;R$ 18;3;5527;30%;;0;0;0;0;0;0;0;0;50;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - VELUDO AZUL - B2 - SELFCOLOR - TESTE SUA COR;200ML;1574;3;3;R$ 50;63;0;10%;R$ 25;32;;R$ 25;31;9996;10%;;0;0;0;0;0;0;17;89;0;0;0;0;0;0;16;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - C-16YR 16/594 - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;1;1;R$ 50;63;0;10%;R$ 30;35;;R$ 20;28;6682;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - AZUL PETAR - Z - SHERWIN - M-LTX ACR FS;QUART;1687;1;1;R$ 50;60;0;10%;R$ 62;42;;-R$ 11;82;-1893;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - MACIOTA - A2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 50;56;0;10%;R$ 32;55;;R$ 18;1;5533;0%;;0;0;0;0;0;0;0;0;50;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - MESQUITA AZUL SW 6789 MET ESM ACETINADO - METALATEX ESMALTE;800ML;1687;1;1;R$ 50;55;0;10%;R$ 62;96;;-R$ 12;41;-1971;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11.03.011 - SPRAY ARTE URBANA AMARELO CANARIO;UNIDA;2;2;3;R$ 50;50;0;10%;R$ 39;96;;R$ 10;54;2637;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PATATIVA - C2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 50;50;0;10%;R$ 27;41;;R$ 23;9;8423;90%;;0;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - GRAO-DE-BICO - A2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;1;1;R$ 50;49;0;10%;R$ 29;15;;R$ 21;34;7320;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CINZA ALPINO - A2 - CORAL - ESMALTE COR & PROTEC;800ML;1574;1;1;R$ 50;44;0;10%;R$ 26;54;;R$ 23;90;9005;30%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - SORBET DE LIMAO - LANGUAGE OF COLORS - - DECORA MATTE FO;800ML;231;1;1;R$ 50;40;0;10%;R$ 25;29;;R$ 25;11;9928;80%;;50;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - LAMPADA MARROQUINA - Z - SHERWIN - M-LTX REQUINTE SUPER;QUART;1687;1;1;R$ 50;40;0;10%;R$ 28;5;;R$ 22;35;7967;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - MARACA - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;1;R$ 50;39;0;10%;R$ 31;43;;R$ 18;96;6032;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BANHEIRA DE ESPUMA SW 9135 MET ACR FOSCO - METALATEX ACRILICO;800ML;1687;1;1;R$ 50;39;0;10%;R$ 62;31;;-R$ 11;92;-1913;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
