Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
ZZ.SV.000 - ILHA AZUL - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,54.00,88.00,0.00,10%,27.00
ZZ.SV.000 - ROUGE - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,2.00,54.00,87.00,0.00,10%,33.00
ZZ.SW.000 - AMARILIS SW 6591 MET ACR FOSCO - METALATEX ACRILICO,800ML,"1,687.00",1.00,1.00,54.00,85.00,0.00,10%,62.00
ZZ.SV.000 - CEREJA - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,2.00,54.00,78.00,0.00,10%,30.00
21.08.006 - VELADURA CUMARU,UNIDA,4.00,4.00,4.00,54.00,76.00,0.00,10%,35.00
ZZ.SH.000 - OURO CAIRO - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI,800ML,231.00,1.00,1.00,54.00,71.00,0.00,10%,31.00
31.24.006 - VERNIZ SW FILTRO SOLAR ACETINADO IMBUIA  1/4,UNIDA,1.00,1.00,1.00,54.00,70.00,0.00,10%,28.00
ZZ.SW.000 - ALECRIM SELVAGEM - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,54.00,68.00,0.00,10%,31.00
ZZ.SW.000 - AZEITONA MADURA - W - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",1.00,1.00,54.00,66.00,0.00,10%,32.00
ZZ.SW.000 - AZUL FRANCA - W - SHERWIN - M-LTX ESM ECO ALTO B,QUART,"1,687.00",1.00,1.00,54.00,57.00,0.00,10%,31.00
ZZ.SV.000 - N104 - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,54.00,52.00,0.00,10%,32.00
ZZ.SV.000 - ESCURIDAO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,54.00,46.00,0.00,10%,27.00
ZZ.SV.000 - AZUL BARROCO - A2 - CORAL - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,54.00,43.00,0.00,10%,29.00
ZZ.SH.000 - INDIGO SUAVE - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST,800ML,231.00,1.00,1.00,54.00,39.00,0.00,10%,31.00
31.07.006 - FUNDO BRANCO FOSCO SW 1/4,UNIDA,11.00,1.00,1.00,54.00,30.00,0.00,10%,28.00
ZZ.SV.000 - ESCONDERIJO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,3.00,54.00,28.00,0.00,10%,26.00
ZZ.SW.000 - CRISANTEMO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,54.00,20.00,0.00,10%,30.00
ZZ.SW.000 - GINGA BRASILEIRA - Z - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,54.00,20.00,0.00,10%,30.00
ZZ.SW.000 - TELA EM BRANCO - XY - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,54.00,17.00,0.00,10%,29.00
ZZ.SV.000 - PETIT-SUISSE - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,54.00,5.00,0.00,10%,29.00
ZZ.SW.000 - MAR ADRIATICO - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,54.00,5.00,0.00,10%,31.00
ZZ.SW.000 - CABO-VERDE - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,54.00,3.00,0.00,10%,31.00
ZZ.SV.000 - BALA DE CARAMELO - C2 - SELFCOLOR - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,54.00,2.00,0.00,10%,30.00
07.02.003 - TRENA  7,5M,UNIDA,2.00,2.00,2.00,54.00,0.00,0,0.10
23.01.032 - PREGO DE ACO 10 X 8,UNIDA,13.00,13.00,18.00,54.00,0.00,0.00,10%,15.00
ZZ.SV.000 - JARDIM NOTURNO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,54.00,0.00,0.00,10%,26.00
ZZ.SV.000 - ACUCAR CRISTAL - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,53.00,99.00,0.00,10%,29.00
ZZ.SV.000 - SW 6793 - A2 - SHERWIN WILLIAMS - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,53.00,94.00,0.00,10%,29.00
ZZ.SW.000 - CINZA NOBRE - W - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,53.00,94.00,0.00,10%,30.00
07.01.033 - PALHA DE ACO  N§ 0,UNIDA,15.00,11.00,20.00,53.00,93.00,0.00,10%,12.00
23.02.001 - BROCA  6,UNIDA,7.00,7.00,7.00,53.00,90.00,0.00,10%,27.00
ZZ.SH.000 - GOMA DE HORTELA - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,53.00,90.00,0.00,10%,27.00
ZZ.SW.000 - VERDE FLORESTA - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,53.00,90.00,0.00,10%,29.00
ZZ.SV.000 - LUGAREJO - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,53.00,82.00,0.00,10%,29.00
ZZ.SV.000 - BERCO - A2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,53.00,78.00,0.00,10%,27.00
ZZ.SW.000 - AZUL DESCANSO SW 6514 MET ESM ACETINADO - METALATEX ESMALTE,800ML,"1,687.00",1.00,1.00,53.00,78.00,0.00,10%,51.00
ZZ.SW.000 - LAJOTA COLONIAL - W - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,53.00,77.00,0.00,10%,30.00
ZZ.SV.000 - FEIXE DE LUZ - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,53.00,65.00,0.00,10%,29.00
25.03.021 - FITA DUPLA FACE FIXA PRO ADELBRAS 19X2,UNIDA,23.00,3.00,5.00,53.00,60.00,0.00,10%,54.00
ZZ.SV.000 - DIVERSAO - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,53.00,52.00,0.00,10%,28.00
ZZ.SV.000 - GOTA DE BAUNILHA - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,53.00,41.00,0.00,10%,28.00
34.01.011 - VIABIT 900ML,UNIDA,7.00,2.00,2.00,53.00,40.00,0.00,10%,29.00
ZZ.SW.000 - TOMATE-VERMELHO - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,53.00,35.00,0.00,10%,33.00
ZZ.SW.000 - AMARELO VITAL - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,53.00,25.00,0.00,10%,30.00
ZZ.SW.000 - VERMELHO REAL - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,53.00,24.00,0.00,10%,28.00
ZZ.SW.000 - QUERUBIM - XY - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,53.00,19.00,0.00,10%,30.00
ZZ.SW.000 - TERRACOTA - W - SHERWIN - M-LTX ACR SB,QUART,"1,687.00",1.00,1.00,53.00,18.00,0.00,10%,29.00
ZZ.SV.000 - NANQUIM - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,53.00,12.00,0.00,10%,32.00
ZZ.SW.000 - CAMU-CAMU - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,53.00,7.00,0.00,10%,31.00
ZZ.SV.000 - SAIDA DE BANHO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,53.00,6.00,0.00,10%,29.00
ZZ.SW.000 - FORRO PE-DE-SERRA - VY - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,53.00,6.00,0.00,10%,30.00
ZZ.SW.000 - JEANS LAVADO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,53.00,4.00,0.00,10%,29.00
ZZ.SV.000 - PRATA ENVELHECIDO - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,52.00,97.00,0.00,10%,27.00
ZZ.SW.000 - DOCE DE ABOBORA S-P130 MET ES E ACETINADO - MET ESMALTE ECO,800ML,"1,687.00",1.00,1.00,52.00,94.00,0.00,10%,60.00
ZZ.SW.000 - AZEITONA MADURA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,52.00,86.00,0.00,10%,31.00
ZZ.SV.000 - MISTERIOS DA MACEDONIA - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,52.00,84.00,0.00,10%,30.00
16.03.024 - LIXA MASSA 50,UNIDA,79.00,9.00,33.00,52.00,80.00,0.00,10%,21.00
ZZ.SV.000 - QUENTAO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,52.00,76.00,0.00,10%,35.00
ZZ.SV.000 - ROSA-QUEIMADO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,52.00,72.00,0.00,10%,30.00
ZZ.SW.000 - ENSEADA VERMELHA - W - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",1.00,1.00,52.00,63.00,0.00,10%,32.00
ZZ.SV.000 - AZUL-NAUTICO - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,52.00,62.00,0.00,10%,29.00
ZZ.SW.000 - CALIPSO - Z - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,52.00,58.00,0.00,10%,30.00
ZZ.SW.000 - CHAPEU CINZA - Z - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,52.00,58.00,0.00,10%,30.00
ZZ.SW.000 - AMIZADE ANTIGA - XY - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,52.00,57.00,0.00,10%,30.00
11.02.005 - COLORGIN METALLIK PRATA 1/32,UNIDA,3.00,3.00,3.00,52.00,50.00,0.00,10%,24.00
ZZ.SV.000 - NUVEM SUAVE - A2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,52.00,48.00,0.00,10%,28.00
15.03.004 - EMBALAGEM GL,UNIDA,3.00,3.00,3.00,52.00,47.00,0.00,10%,13.00
ZZ.SV.000 - CORTICA - A2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,2.00,52.00,43.00,0.00,10%,19.00
ZZ.SW.000 - VERAO SICILIANO - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,52.00,43.00,0.00,10%,29.00
ZZ.SV.000 - HEMATITA - B2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,52.00,41.00,0.00,10%,22.00
ZZ.SH.000 - CASA DA ARVORE - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,52.00,40.00,0.00,10%,29.00
ZZ.SV.000 - NANQUIM - B2 - SELFCOLOR - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,52.00,38.00,0.00,10%,28.00
ZZ.SV.000 - GOLFINHO - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,52.00,35.00,0.00,10%,24.00
ZZ.SW.000 - VERDE FOLHA - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,52.00,35.00,0.00,10%,28.00
ZZ.SW.000 - VERDE TARDIO - XY - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,52.00,33.00,0.00,10%,28.00
ZZ.SH.000 - MERGULHO EM NORONHA - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,52.00,30.00,0.00,10%,29.00
ZZ.SW.000 - OLHO DE TIGRE - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,52.00,26.00,0.00,10%,30.00
ZZ.SV.000 - CASTANHA-DO-PARA - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,52.00,24.00,0.00,10%,28.00
ZZ.SV.000 - CANELA - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,52.00,20.00,0.00,10%,25.00
ZZ.SV.000 - MEIA-LUZ - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,52.00,19.00,0.00,10%,35.00
ZZ.SV.000 - MAPA-MUNDI - C2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,52.00,12.00,0.00,10%,52.00
ZZ.SV.000 - AZUL-NOTURNO - C2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,52.00,10.00,0.00,10%,32.00
ZZ.SW.000 - TEMPO TEAL SW 6947 MET REQ ACETINADO - METALATEX REQUINTE - SUPERLAVAVEL ACETINA,800ML,"1,687.00",1.00,1.00,52.00,10.00,0.00,10%,60.00
ZZ.SV.000 - PEQUI - B2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,52.00,8.00,0.00,10%,28.00
25.03.013 - DUREPOXI  100 GRAMAS,UNIDA,24.00,5.00,5.00,52.00,0.00,0.00,10%,22.00
33.04.009 - ROLO LA TIGRE 1342,UNIDA,3.00,3.00,3.00,51.00,98.00,0.00,10%,45.00
ZZ.SV.000 - PINHEIRO - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,51.00,95.00,0.00,10%,26.00
ZZ.SV.000 - TRILHA ECOLOGICA - B2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,51.00,94.00,0.00,10%,27.00
ZZ.SW.000 - CARISMA - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,94.00,0.00,10%,30.00
11.03.034 - SPRAY ARTE URBANA CARAMELO,UNIDA,3.00,3.00,3.00,51.00,90.00,0.00,10%,39.00
ZZ.SH.000 - POESIA CONCRETA - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,51.00,90.00,0.00,10%,27.00
ZZ.SW.000 - ALVORECER - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,87.00,0.00,10%,30.00
ZZ.SV.000 - VASO DE CERAMICA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,51.00,86.00,0.00,10%,30.00
07.15.010 - TRINCHA ATLAS AT340 2 ANGULAR,UNIDA,5.00,2.00,2.00,51.00,80.00,0.00,10%,21.00
ZZ.SV.000 - CAPIM-DE-CHEIRO - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,51.00,68.00,0.00,10%,27.00
ZZ.SV.000 - AZALEIA - B2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,51.00,65.00,0.00,10%,30.00
ZZ.SV.000 - PIRINEUS - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,65.00,0.00,10%,27.00
ZZ.SV.000 - PUMA - A2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,2.00,51.00,65.00,0.00,10%,19.00
06.03.001 - PILHA AA   ENERGIZER MAX,UNIDA,30.00,3.00,4.00,51.00,60.00,0.00,10%,18.00
ZZ.SW.000 - ENCONTROS DO DESTINO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,58.00,0.00,10%,29.00
ZZ.SW.000 - VINHO QUENTE - W - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,51.00,57.00,0.00,10%,27.00
ZZ.SV.000 - CADEIRA DE BAMBU - B2 - SELFCOLOR - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,51.00,55.00,0.00,10%,27.00
ZZ.SV.029 - ESMALTE COR & PROTEC C2 0.80,800ML,1.00,1.00,1.00,51.00,55.00,0.00,10%,32.00
ZZ.SV.000 - OCEANO PROFUNDO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",2.00,2.00,51.00,46.00,0.00,10%,30.00
ZZ.SV.000 - CALCA DE SARJA - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,41.00,0.00,10%,27.00
ZZ.SW.000 - PRAIA DO FAROL - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,41.00,0.00,10%,30.00
34.01.002 - ECOPRIMER 1 LT,UNIDA,2.00,2.00,2.00,51.00,40.00,0.00,10%,23.00
ZZ.SV.000 - BRANCO CASAMENTO - A2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,40.00,0.00,10%,27.00
ZZ.SW.000 - MESQUITA AZUL - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,39.00,0.00,10%,29.00
ZZ.SV.000 - AVENTURINA - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,51.00,33.00,0.00,10%,24.00
ZZ.SV.000 - PEQUI - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,31.00,0.00,10%,29.00
ZZ.SH.000 - COLUNATA PESSEGO - LANGUAGE OF COLORS - - DECORA SEDA AC,800ML,231.00,1.00,1.00,51.00,30.00,0.00,10%,27.00
ZZ.SV.000 - VERDE GALES - A2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,51.00,23.00,0.00,10%,27.00
20.03.005 - ESMALTE LUKS BRILH VERDE COLONIAL 1/16,UNIDA,5.00,4.00,4.00,51.00,21.00,0.00,10%,27.00
ZZ.SV.000 - PAVILHAO ROSA - A2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,51.00,21.00,0.00,10%,27.00
ZZ.SH.000 - CREME DE PITANGA - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI,800ML,231.00,1.00,1.00,51.00,20.00,0.00,10%,28.00
ZZ.SV.000 - ROSA GIZ - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,19.00,0.00,10%,29.00
ZZ.SV.000 - SW 6420 - A2 - SHERWIN WILLIAMS - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,51.00,14.00,0.00,10%,27.00
ZZ.SW.000 - CALDA DE CEREJAS - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,14.00,0.00,10%,31.00
ZZ.SV.000 - CURRY - C2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,51.00,4.00,0.00,10%,27.00
ZZ.SW.000 - REFUGIO DE INVERNO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,51.00,3.00,0.00,10%,28.00
23.01.001 - ABRACADEIRA DE  NYLON 4,8 X 280 - NATURAL,UNIDA,7.00,7.00,69.00,51.00,0.00,0,0.10
"23.03.007 - NIVEL 12"" 30CM 3 VISORES STAFER;UNIDA;5;3;3; R$ 51",0,0.00,0.10,51.00,0.00, R$ -   ,0.00,0%,
ZZ.SV.000 - PEDRA ROSADA - A2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,51.00,0.00,0.00,10%,29.00
ZZ.SV.000 - FOLHA SECA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,50.00,97.00,0.00,10%,29.00
ZZ.SH.000 - AZUL FANTASMA* - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST,800ML,231.00,1.00,1.00,50.00,92.00,0.00,10%,30.00
ZZ.SV.000 - CAPPUCCINO - C2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,92.00,0.00,10%,27.00
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,50.00,86.00,0.00,10%,29.00
ZZ.SV.000 - TUBARAO CINZA - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,50.00,84.00,0.00,10%,25.00
ZZ.SV.000 - ROSA ACANHADO - A2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,50.00,83.00,0.00,10%,26.00
07.01.024 - ESPATULA  ATLAS  6255 ACO CROMADO 3,8CM,UNIDA,25.00,4.00,4.00,50.00,80.00,0,0.10
ZZ.SW.000 - VERVE VIOLET - W - SHERWIN - M-LTX ACR SB,QUART,"1,687.00",1.00,1.00,50.00,77.00,0.00,10%,28.00
ZZ.SW.000 - UVA EXUBERANTE - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,74.00,0.00,10%,26.00
ZZ.SW.000 - MARROM CAFE - W - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",1.00,1.00,50.00,70.00,0.00,10%,28.00
ZZ.SW.000 - VERDE ENVELHECIDO - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,69.00,0.00,10%,29.00
"33.05.015 - TRINCHA TIGRE 696 1""1/2;UNIDA;6;6;6; R$ 50",65,0.00,0.10,56.00,34.00,-5.00,69.00,-1009,0.90
ZZ.SV.000 - ASAS DE ANJO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,65.00,0.00,10%,32.00
ZZ.SV.000 - VELUDO AZUL - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,50.00,63.00,0.00,10%,25.00
ZZ.SW.000 - C-16YR 16/594 - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,63.00,0.00,10%,30.00
ZZ.SW.000 - AZUL PETAR - Z - SHERWIN - M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,60.00,0.00,10%,62.00
ZZ.SV.000 - MACIOTA - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,56.00,0.00,10%,32.00
ZZ.SW.000 - MESQUITA AZUL SW 6789 MET ESM ACETINADO - METALATEX ESMALTE,800ML,"1,687.00",1.00,1.00,50.00,55.00,0.00,10%,62.00
11.03.011 - SPRAY ARTE URBANA AMARELO CANARIO,UNIDA,2.00,2.00,3.00,50.00,50.00,0.00,10%,39.00
ZZ.SV.000 - PATATIVA - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,50.00,0.00,10%,27.00
ZZ.SV.000 - GRAO-DE-BICO - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,50.00,49.00,0.00,10%,29.00
ZZ.SV.000 - CINZA ALPINO - A2 - CORAL - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,50.00,44.00,0.00,10%,26.00
ZZ.SH.000 - SORBET DE LIMAO - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,50.00,40.00,0.00,10%,25.00
ZZ.SW.000 - LAMPADA MARROQUINA - Z - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,50.00,40.00,0.00,10%,28.00
ZZ.SV.000 - MARACA - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,39.00,0.00,10%,31.00
ZZ.SW.000 - BANHEIRA DE ESPUMA SW 9135 MET ACR FOSCO - METALATEX ACRILICO,800ML,"1,687.00",1.00,1.00,50.00,39.00,0.00,10%,62.00
ZZ.SH.000 - LAPIS PRETO - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI,800ML,231.00,1.00,1.00,50.00,36.00,0.00,10%,22.00
ZZ.SV.000 - FIORDE TROPICAL - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,50.00,35.00,0.00,10%,26.00
ZZ.SW.000 - GERANIO ROSA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,33.00,0.00,10%,26.00
ZZ.SW.000 - CORUJA CINZA - Z - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,50.00,27.00,0.00,10%,28.00
ZZ.SW.000 - LAVANDA SECA - Z - SHERWIN - M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,27.00,0.00,10%,62.00
ZZ.SV.000 - ARGILA - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,50.00,25.00,0.00,10%,25.00
ZZ.SV.000 - ESPUMA DO MAR - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,25.00,0.00,10%,28.00
ZZ.SV.000 - ESCONDERIJO - C2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,50.00,24.00,0.00,10%,51.00
ZZ.SW.000 - TIE-FOGO - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",1.00,1.00,50.00,23.00,0.00,10%,30.00
ZZ.SW.000 - IMPROMPTU - W - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,1.00,50.00,21.00,0.00,10%,28.00
ZZ.SH.000 - OPALA CLARO - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,50.00,20.00,0.00,10%,25.00
ZZ.SH.000 - SALVIA DE VERAO - LANGUAGE OF COLORS - - DECORA MATTE FO,800ML,231.00,1.00,1.00,50.00,20.00,0.00,10%,27.00
ZZ.SV.000 - CAMPINAS MADURAS - A2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,50.00,14.00,0.00,10%,29.00
ZZ.SV.000 - ROCK N ROLL - C2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,50.00,14.00,0.00,10%,26.00
ZZ.SV.000 - FERRUGEM - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,50.00,13.00,0.00,10%,24.00
ZZ.SV.000 - BALEIA-AZUL - C2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,1.00,50.00,12.00,0.00,10%,29.00
ZZ.SV.000 - CASA DE CAMPO - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,3.00,50.00,9.00,0.00,10%,24.00
ZZ.SW.000 - SOBRADO FRANCES - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,1.00,50.00,4.00,0.00,10%,28.00
31.11.030 - NOVA COR FSC E 1/4,UNIDA,2.00,2.00,2.00,50.00,0.00,0.00,10%,17.00
ZZ.SV.000 - PAPEL-CREPOM - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,49.00,98.00,0.00,10%,26.00
