Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
99.99.998 - KIT CIMENTO QUEIMADO 1/4 NUVENS DE CHUVA,UNIDA,1.00,33.00,37.00,"4,249.00",4.00,11.00,0%,"3,866.00"
11.03.110 - SPRAY USO GERAL PRETO FOSCO,UNIDA,130.00,130.00,198.00,"4,234.00",16.00,11.00,0%,"2,513.00"
13.07.060 - TEXTURA CROMANIL  TOSCANA 1/4,UNIDA,42.00,42.00,48.00,"4,190.00",74.00,10.00,90%,"1,571.00"
ZZ.SW.000 - POMBA BRANCA - XY - SHERWIN - M-LTX REQUINTE SUPER,LATA,"1,687.00",5.00,9.00,"4,187.00",10.00,10.00,90%,"2,971.00"
13.09.013 - VERNIZ ACRILICO ACETINADO CROMANIL 900 ML,UNIDA,117.00,117.00,135.00,"4,038.00",92.00,10.00,50%,"1,442.00"
ZZ.SV.000 - OVELHA - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",7.00,11.00,"3,967.00",61.00,10.00,30%,"2,927.00"
ZZ.SV.000 - ELEFANTE - B2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",18.00,19.00,"3,962.00",5.00,10.00,30%,"2,877.00"
25.11.020 - SUVINIL RENDE MUITO LATA,UNIDA,15.00,15.00,15.00,"3,905.00",26.00,10.00,10%,"3,455.00"
13.05.007 - CROMANIL FSC ANIL INTENSO 3 1/4,UNIDA,78.00,36.00,40.00,"3,872.00",47.00,10.00,10%,"1,229.00"
35.01.008 - SELADOR ACRILICO UNIVERSO LATA,LATA,27.00,27.00,44.00,"3,845.00",80.00,10.00,0%,"2,269.00"
31.23.020 - NOVA COR PISO CONCRETO GL,UNIDA,45.00,45.00,48.00,"3,828.00",78.00,9.00,90%,"2,361.00"
ZZ.SV.000 - REALEZA - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",1.00,6.00,"3,806.00",70.00,9.00,90%,"2,860.00"
12.01.002 - ESMALTE CORAL ACET BRANCO GL,UNIDA,50.00,31.00,41.00,"3,791.00",25.00,9.00,90%,"2,687.00"
16.03.028 - LIXA MASSA 150,UNIDA,594.00,527.00,"3,569.00","3,744.00",64.00,9.00,70%,"1,493.00"
13.07.092 - LUMINUZ FURTACOR ESVERDEADO GL,UNIDA,17.00,17.00,19.00,"3,726.00",12.00,9.00,70%,"3,591.00"
ZZ.SW.000 - MARROM-LUXO - W - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",6.00,8.00,"3,723.00",52.00,9.00,70%,"2,453.00"
12.03.010 - MASSA CORRIDA PVA CORAL LATA 25KG,UNIDA,25.00,24.00,44.00,"3,683.00",1.00,9.00,60%,"2,467.00"
31.11.037 - TINTAS,UNIDA,42.00,43.00,63.00,"3,625.00",38.00,9.00,40%,63.00
31.06.001 - ESMALTE METALATEX ECO ACET BRANCO 1/4,UNIDA,85.00,85.00,93.00,"3,615.00",75.00,9.00,40%,"1,823.00"
99.99.998 - KIT GL CIMENTO QUEIMADO NUVENS DE CHUVA,UNIDA,1.00,11.00,11.00,"3,613.00",50.00,9.00,40%,"2,577.00"
