Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.
35.01.008 - SELADOR ACRILICO UNIVERSO LATA;LATA;27;27;44;R$ 3.845;80;10;0%;R$ 2.269
31.23.020 - NOVA COR PISO CONCRETO GL;UNIDA;45;45;48;R$ 3.828;78;9;90%;R$ 2.361
ZZ.SV.000 - REALEZA - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;1;6;R$ 3.806;70;9;90%;R$ 2.860
12.01.002 - ESMALTE CORAL ACET BRANCO GL;UNIDA;50;31;41;R$ 3.791;25;9;90%;R$ 2.687
16.03.028 - LIXA MASSA 150;UNIDA;594;527;3569;R$ 3.744;64;9;70%;R$ 1.493
13.07.092 - LUMINUZ FURTACOR ESVERDEADO GL;UNIDA;17;17;19;R$ 3.726;12;9;70%;R$ 3.591
ZZ.SW.000 - MARROM-LUXO - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;6;8;R$ 3.723;52;9;70%;R$ 2.453
12.03.010 - MASSA CORRIDA PVA CORAL LATA 25KG;UNIDA;25;24;44;R$ 3.683;1;9;60%;R$ 2.467
31.11.037 - TINTAS;UNIDA;42;43;63;R$ 3.625;38;9;40%;R$ 63
31.06.001 - ESMALTE METALATEX ECO ACET BRANCO 1/4;UNIDA;85;85;93;R$ 3.615;75;9;40%;R$ 1.823
99.99.998 - KIT GL CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;1;11;11;R$ 3.613;50;9;40%;R$ 2.577
12.02.001 - ESMALTE CORALIT TOTAL ACET BRANCO GL ECO;UNIDA;58;24;31;R$ 3.578;27;9;30%;R$ 2.142
31.24.019 - VERNIZ SW MARITIMO FOSCO GL;UNIDA;27;27;37;R$ 3.568;79;9;30%;R$ 2.126
31.23.014 - NOVA COR PISO CINZA  CHUMBO LT;UNIDA;11;11;13;R$ 3.564;99;9;30%;R$ 2.723
22.02.001 - TELHA FRIA MACTRA LT;UNIDA;6;6;9;R$ 3.544;4;9;20%;R$ 2.190
31.23.009 - NOVA COR PISO BRANCO GL;UNIDA;37;37;41;R$ 3.542;61;9;20%;R$ 2.100
25.10.013 - SUVINIL TOQUE DE SEDA LATA;UNIDA;7;7;7;R$ 3.541;86;9;20%;R$ 2.906
13.07.020 - TEXTURA CROMANIL  BURACO NEGRO GL;UNIDA;13;13;15;R$ 3.534;24;9;20%;R$ 1.977
13.07.112 - KIT 1/4 CIMENTO QUEIMADO GAROA;UNIDA;27;27;29;R$ 3.525;33;9;20%;R$ 3.030
ZZ.SV.000 - CINZA ASFALTO - C2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;7;8;R$ 3.499;1;9;10%;R$ 2.294
31.17.004 - SELADOR ACRILICO METALATEX LT;UNIDA;20;20;23;R$ 3.488;83;9;10%;R$ 2.152
25.24.001 - EPOXI SUVINIL BANHEIRO E COZINHA   GL;UNIDA;44;15;21;R$ 3.474;48;9;0%;R$ 2.361
20.01.001 - ESMALTE LUKS FOSCO BRANCO BASE AGUA 1/4;UNIDA;82;82;92;R$ 3.411;7;8;90%;R$ 1.677
25.23.001 - MULTISUPERFICIES BRANCO 1/4;UNIDA;62;49;52;R$ 3.409;46;8;90%;R$ 1.991
13.04.009 - CROMANIL REQ ANIL INTENSO 3 LT;UNIDA;2;2;3;R$ 3.404;0;8;80%;R$ 799
03.01.001 - PAPELAO ONDULADO 30MTS;UNIDA;39;39;45;R$ 3.402;48;8;80%;R$ 1.796
13.07.094 - LUMINUZ HOLOGRAFICO GL;UNIDA;11;11;12;R$ 3.399;49;8;80%;R$ 3.108
31.11.038 - METALATEX FSC  VERMELHO RUSTICO LT;UNIDA;1;1;9;R$ 3.385;53;8;80%;R$ 2.334
25.18.002 - MASSA CORRIDA PVA SUVINIL GL;UNIDA;93;94;103;R$ 3.383;87;8;80%;R$ 2.514
ZZ.SV.000 - TESOURO PERDIDO - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;5;6;R$ 3.367;86;8;80%;R$ 2.522
13.07.007 - TEXTURA CROMANIL   1/4;UNIDA;24;24;39;R$ 3.310;35;8;60%;R$ 394
13.05.006 - LATEX ACR FOSCO CROMANIL ANIL (2) LT;UNIDA;7;2;3;R$ 3.307;0;8;60%;R$ 934
02.01.001 - BANDEJA  PQ;UNIDA;287;287;332;R$ 3.287;9;8;50%;R$ 650
13.07.076 - TEXTURA CROMANIL RELEVO ANIL  GL;UNIDA;12;12;14;R$ 3.267;53;8;50%;R$ 441
31.23.013 - NOVA COR PISO CINZA  CHUMBO GL;UNIDA;36;36;40;R$ 3.258;65;8;50%;R$ 1.868
31.23.021 - NOVA COR PISO CONCRETO LT;UNIDA;10;10;12;R$ 3.244;41;8;40%;R$ 2.373
